Uniprot Accession	Gene	Description	Peptides used for quantitation	Confidence score	Molecular weight (Da)	LB
P37327	yfdC	Inner membrane protein yfdC OS=Escherichia coli (strain K12) GN=yfdC PE=1 SV=1	2	82.78	34462.77374	29
P76330	yedQ	Probable diguanylate cyclase YedQ OS=Escherichia coli (strain K12) GN=yedQ PE=2 SV=2	2	40.22	64224.80085	11
P0A752	nadD	Nicotinate-nucleotide adenylyltransferase OS=Escherichia coli (strain K12) GN=nadD PE=1 SV=1	2	109.22	24494.56589	67
P37340	mdtK	Multidrug resistance protein mdtK OS=Escherichia coli (strain K12) GN=mdtK PE=1 SV=2	2	65.33	49396.50795	16
P0A9W6	yrbA	Uncharacterized protein YrbA OS=Escherichia coli (strain K12) GN=yrbA PE=1 SV=1	2	71.44	9427.72188	606
P0AEI6	nudJ	Phosphatase nudJ OS=Escherichia coli (strain K12) GN=nudJ PE=1 SV=1	2	105.2	17403.64618	31
P0A6I6	coaD	Phosphopantetheine adenylyltransferase OS=Escherichia coli (strain K12) GN=coaD PE=1 SV=1	2	69.78	17807.10425	64
P27838	cyaY	Protein CyaY OS=Escherichia coli (strain K12) GN=cyaY PE=1 SV=1	2	107.66	12205.80259	178
P37671	yiaJ	HTH-type transcriptional regulator yiaJ OS=Escherichia coli (strain K12) GN=yiaJ PE=1 SV=1	2	92.26	31028.83427	51
P0AA57	yobA	Protein YobA OS=Escherichia coli (strain K12) GN=yobA PE=1 SV=1	2	41.7	13383.99032	106
P05041	pabB	Para-aminobenzoate synthase component 1 OS=Escherichia coli (strain K12) GN=pabB PE=1 SV=1	2	70.11	50919.63501	45
P18390	yjjA	Uncharacterized protein yjjA OS=Escherichia coli (strain K12) GN=yjjA PE=4 SV=3	2	89.46	17323.79744	400
P0AC23	focA	Probable formate transporter 1 OS=Escherichia coli (strain K12) GN=focA PE=1 SV=1	2	112.55	30951.9479	46
P37615	yhhM	Uncharacterized protein yhhM OS=Escherichia coli (strain K12) GN=yhhM PE=4 SV=1	2	112.27	13470.02868	76
P77712	fadM	Long-chain acyl-CoA thioesterase tesC OS=Escherichia coli (strain K12) GN=tesC PE=1 SV=1	2	81.7	15060.84544	16
Q47622	sapA	Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1	2	125.2	61508.41287	42
P0ACW6	ydcH	Uncharacterized protein ydcH OS=Escherichia coli (strain K12) GN=ydcH PE=4 SV=2	2	81.41	8854.61993	44
P27247	plsX	Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2	2	164.32	38172.48086	72
P0AEP9	glcD	Glycolate oxidase subunit glcD OS=Escherichia coli (strain K12) GN=glcD PE=3 SV=1	2	61.87	53759.593	97
P14176	proW	Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1	2	150.34	37577.3499	1314
P77279	fetA	Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1	2	121.29	25348.13345	162
P52094	hisQ	Histidine transport system permease protein hisQ OS=Escherichia coli (strain K12) GN=hisQ PE=1 SV=2	2	88.79	24615.27278	20
P28632	holD	DNA polymerase III subunit psi OS=Escherichia coli (strain K12) GN=holD PE=1 SV=1	2	168.57	15146.81145	34
P0ACK5	deoR	Deoxyribose operon repressor OS=Escherichia coli (strain K12) GN=deoR PE=1 SV=1	2	71.72	28511.57257	34
P0AA99	yafK	Putative L,D-transpeptidase YafK OS=Escherichia coli (strain K12) GN=yafK PE=3 SV=1	2	76.02	27985.12231	15
P29013	ycgB	Uncharacterized protein ycgB OS=Escherichia coli (strain K12) GN=ycgB PE=4 SV=2	2	127.37	60756.97139	36
P13001	bioH	Carboxylesterase BioH OS=Escherichia coli (strain K12) GN=bioH PE=1 SV=1	2	101.22	28468.85214	68
P0A8Y8	entH	Esterase YbdB OS=Escherichia coli (strain K12) GN=ybdB PE=1 SV=1	2	163.4	14942.35231	7
P77554	yahJ	Uncharacterized protein yahJ OS=Escherichia coli (strain K12) GN=yahJ PE=4 SV=1	2	79.98	50498.75607	8
P77721	ydjF	Uncharacterized HTH-type transcriptional regulator ydjF OS=Escherichia coli (strain K12) GN=ydjF PE=1 SV=1	2	117.19	28225.67774	68
P37344	pspF	Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2	2	84.39	36945.19741	17
P23837	phoQ	Sensor protein phoQ OS=Escherichia coli (strain K12) GN=phoQ PE=1 SV=1	2	76.32	55246.81346	32
P0C0K3	rdoA	Protein rdoA OS=Escherichia coli (strain K12) GN=rdoA PE=1 SV=1	2	60.06	38078.10676	108
P37649	yhjK	Protein YhjK OS=Escherichia coli (strain K12) GN=yhjK PE=1 SV=3	2	66.32	74315.39691	4
P19636	eutC	Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2	2	109.72	31743.39396	13
P64612	zapE	Uncharacterized protein YhcM OS=Escherichia coli (strain K12) GN=yhcM PE=1 SV=1	2	58.27	43018.03749	31
P37659	bcsG	Uncharacterized protein yhjU OS=Escherichia coli (strain K12) GN=yhjU PE=4 SV=1	2	85.76	61974.43042	38
P64448	ynbE	Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1	2	67.73	6817.65486	104
P75713	ylbA	Uncharacterized protein ylbA OS=Escherichia coli (strain K12) GN=ylbA PE=1 SV=1	2	93.91	28694.14792	44
P0A6E9	bioD	Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1	2	152.18	24947.35565	11
P05804	uidA	Beta-glucuronidase OS=Escherichia coli (strain K12) GN=uidA PE=1 SV=2	2	58.88	68385.67522	6
P0A915	ompW	Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1	2	221.03	22895.28127	183
P0AE63	chaB	Cation transport regulator ChaB OS=Escherichia coli (strain K12) GN=chaB PE=1 SV=1	2	51.57	8921.34967	22
P0A7Y4	rnhA	Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1	2	99.7	17567.83941	36
P30847	baeS	Signal transduction histidine-protein kinase BaeS OS=Escherichia coli (strain K12) GN=baeS PE=3 SV=2	2	90.99	51941.16903	15
P69488	cutA	Divalent-cation tolerance protein CutA OS=Escherichia coli (strain K12) GN=cutA PE=1 SV=1	2	102.68	12305.21781	20
P75782	rlmF	Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rlmF PE=1 SV=2	2	77.17	34186.48259	44
P76491	yfbR	5'-nucleotidase yfbR OS=Escherichia coli (strain K12) GN=yfbR PE=1 SV=1	2	107.45	22675.59007	63
P0A9T8	ybbA	Uncharacterized ABC transporter ATP-binding protein YbbA OS=Escherichia coli (strain K12) GN=ybbA PE=3 SV=1	2	146.93	24499.8241	45
P28306	yceG	UPF0755 protein yceG OS=Escherichia coli (strain K12) GN=yceG PE=1 SV=2	2	51.99	38205.32134	15
P75821	ybjS	Uncharacterized protein ybjS OS=Escherichia coli (strain K12) GN=ybjS PE=4 SV=2	2	106.5	38043.37864	24
P0AGI1	rbsC	Ribose transport system permease protein rbsC OS=Escherichia coli (strain K12) GN=rbsC PE=1 SV=1	2	123.54	33412.39622	25
P0AEV1	rssB	Protein hnr OS=Escherichia coli (strain K12) GN=hnr PE=1 SV=1	2	150.97	37260.50082	5
P29680	hemE	Uroporphyrinogen decarboxylase OS=Escherichia coli (strain K12) GN=hemE PE=1 SV=3	2	119.34	39204.89119	10
P33650	feoB	Ferrous iron transport protein B OS=Escherichia coli (strain K12) GN=feoB PE=1 SV=1	2	151.09	84400.82244	12
P23871	hemH	Ferrochelatase OS=Escherichia coli (strain K12) GN=hemH PE=1 SV=3	2	141.81	35843.27231	61
P31828	pqqL	Probable zinc protease pqqL OS=Escherichia coli (strain K12) GN=pqqL PE=3 SV=2	2	106.67	104573.7103	8
P0A6B4	alr	Alanine racemase, biosynthetic OS=Escherichia coli (strain K12) GN=alr PE=1 SV=1	2	137.16	39110.1558	15
P0A8G0	uvrC	UvrABC system protein C OS=Escherichia coli (strain K12) GN=uvrC PE=1 SV=1	2	79.82	68127.44655	2
P0A8J2	dnaT	Primosomal protein 1 OS=Escherichia coli (strain K12) GN=dnaT PE=1 SV=2	2	80.74	19425.00867	140
P0C079	relB	Antitoxin RelB OS=Escherichia coli (strain K12) GN=relB PE=1 SV=1	2	36.21	9047.79287	275
P0A944	rimI	Ribosomal-protein-alanine acetyltransferase OS=Escherichia coli (strain K12) GN=rimI PE=3 SV=1	2	150.95	16581.3683	55
P39356	yjhU	Uncharacterized transcriptional regulator yjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2	2	115.88	36070.68919	15
P31119	aas	Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	2	82.59	80630.57813	12
P24228	dacB	D-alanyl-D-alanine carboxypeptidase dacB OS=Escherichia coli (strain K12) GN=dacB PE=1 SV=2	2	45.51	51747.53005	12
P0A7Y8	rnpA	Ribonuclease P protein component OS=Escherichia coli (strain K12) GN=rnpA PE=3 SV=1	2	125.88	13762.65097	310
P06846	ebgR	HTH-type transcriptional regulator ebgR OS=Escherichia coli (strain K12) GN=ebgR PE=4 SV=2	2	96.38	36169.89052	31
P27240	rfaY	Lipopolysaccharide core heptose(II) kinase rfaY OS=Escherichia coli (strain K12) GN=rfaY PE=3 SV=2	2	32.62	27425.62615	18
P0A9U6	puuR	HTH-type transcriptional regulator puuR OS=Escherichia coli (strain K12) GN=puuR PE=1 SV=1	2	69.89	20061.16312	149
Q46839	glcA	Glycolate permease glcA OS=Escherichia coli (strain K12) GN=glcA PE=1 SV=1	2	92.76	58863.68758	9
P30843	basR	Transcriptional regulatory protein BasR OS=Escherichia coli (strain K12) GN=basR PE=2 SV=3	2	83.85	24997.14381	21
P0AGI4	xylH	Xylose transport system permease protein xylH OS=Escherichia coli (strain K12) GN=xylH PE=1 SV=1	2	127.25	40986.02687	0
P37339	lhgO	L-2-hydroxyglutarate oxidase LhgO OS=Escherichia coli (strain K12) GN=lhgO PE=1 SV=3	2	133.96	46034.50872	18
P45544	frlR	HTH-type transcriptional regulator frlR OS=Escherichia coli (strain K12) GN=frlR PE=1 SV=2	2	63.17	27785.2581	29
P76055	ttcA	tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1	2	153.56	35520.02369	204
P00805	ansB	L-asparaginase 2 OS=Escherichia coli (strain K12) GN=ansB PE=1 SV=2	2	140.96	36809.73585	64
P30864	yafC	Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1	2	49	33736.61375	18
P21865	kdpD	Sensor protein kdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	2	192.93	98638.9449	2
B8LFD5		Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1	2	72.86	38834.1893	20
P64479	ydiZ	Uncharacterized protein ydiZ OS=Escherichia coli (strain K12) GN=ydiZ PE=4 SV=1	2	166.67	10840.26976	15
P15082	srlR	Glucitol operon repressor OS=Escherichia coli (strain K12) GN=srlR PE=2 SV=1	2	39.05	28200.37293	11
P0AA63	yqjA	Inner membrane protein YqjA OS=Escherichia coli (strain K12) GN=yqjA PE=1 SV=1	2	132.97	24551.31261	17
P0A9F6	gcvA	Glycine cleavage system transcriptional activator OS=Escherichia coli (strain K12) GN=gcvA PE=1 SV=1	2	92.2	34362.11053	4
P26459	appC	Cytochrome bd-II oxidase subunit 1 OS=Escherichia coli (strain K12) GN=appC PE=1 SV=1	2	141.52	57863.80187	4
P0AEB0	cysW	Sulfate transport system permease protein CysW OS=Escherichia coli (strain K12) GN=cysW PE=1 SV=1	2	132.75	32498.35892	9
P0ACL2	exuR	Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1	2	126.3	29798.93423	94
P75959	nagK	N-acetyl-D-glucosamine kinase OS=Escherichia coli (strain K12) GN=nagK PE=1 SV=1	2	105.75	33003.5642	19
P0A6M2	dsbB	Disulfide bond formation protein B OS=Escherichia coli (strain K12) GN=dsbB PE=1 SV=1	2	81.7	20110.56132	94
P0A9F9	metR	HTH-type transcriptional regulator metR OS=Escherichia coli (strain K12) GN=metR PE=4 SV=1	2	91.34	35588.55525	38
P16431	hycE	Formate hydrogenlyase subunit 5 OS=Escherichia coli (strain K12) GN=hycE PE=1 SV=1	2	53.35	64920.75289	0
P0AEC5	barA	Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1	2	102.3	102369.9211	4
Q46925	csdA	Cysteine sulfinate desulfinase OS=Escherichia coli (strain K12) GN=csdA PE=1 SV=1	2	97.28	43188.95647	25
P56258	wecF	4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2	2	51.35	40595.8448	14
P75809	ybjI	Phosphatase YbjI OS=Escherichia coli (strain K12) GN=ybjI PE=1 SV=3	2	75.91	30159.07836	32
P37351	rpiB	Ribose-5-phosphate isomerase B OS=Escherichia coli (strain K12) GN=rpiB PE=1 SV=2	2	101.64	16045.25233	74
P64467	cnu	OriC-binding nucleoid-associated protein OS=Escherichia coli (strain K12) GN=cnu PE=1 SV=1	2	54.33	8393.29455	195
P24555	ptrB	Protease 2 OS=Escherichia coli (strain K12) GN=ptrB PE=1 SV=2	2	24.77	79422.33087	5
P15723	dgt	Deoxyguanosinetriphosphate triphosphohydrolase OS=Escherichia coli (strain K12) GN=dgt PE=1 SV=4	2	55.74	59327.47404	3
P0AC44	sdhD	Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1	2	193.02	12841.03993	188
P77791	maa	Maltose O-acetyltransferase OS=Escherichia coli (strain K12) GN=maa PE=1 SV=3	2	185.09	20065.24705	511
P77257	lsrA	Autoinducer 2 import ATP-binding protein LsrA OS=Escherichia coli (strain K12) GN=lsrA PE=1 SV=1	2	80.7	55768.52443	1
P76217	astD	N-succinylglutamate 5-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=astD PE=1 SV=1	2	147.06	52975.16476	10
P03007	dnaQ	DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1	2	119.96	27063.74021	35
P0ABK9	nrfA	Cytochrome c-552 OS=Escherichia coli (strain K12) GN=nrfA PE=1 SV=1	2	83.34	53650.73241	0
P0AAT6	rsfS	Uncharacterized protein ybeB OS=Escherichia coli (strain K12) GN=ybeB PE=1 SV=1	2	134.46	11556.82767	185
P64461	lsrG	Autoinducer 2-degrading protein lsrG OS=Escherichia coli (strain K12) GN=lsrG PE=1 SV=1	2	73.7	11229.62576	3
P37661	eptB	Phosphoethanolamine transferase eptB OS=Escherichia coli (strain K12) GN=eptB PE=1 SV=3	2	88.37	63745.52059	3
P0A6S0	flgH	Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1	2	93.42	24582.36131	2
P0ACI3	xylR	Xylose operon regulatory protein OS=Escherichia coli (strain K12) GN=xylR PE=4 SV=1	2	78.79	44823.08056	8
P0AE67	cheY	Chemotaxis protein CheY OS=Escherichia coli (strain K12) GN=cheY PE=1 SV=2	2	132.52	14070.27599	20
P0ACN7	cytR	HTH-type transcriptional repressor CytR OS=Escherichia coli (strain K12) GN=cytR PE=1 SV=1	2	50.86	37777.32841	22
P13039	fes	Enterochelin esterase OS=Escherichia coli (strain K12) GN=fes PE=1 SV=1	2	109.33	42524.57524	2
P64463	ydfZ	Putative selenoprotein ydfZ OS=Escherichia coli (strain K12) GN=ydfZ PE=1 SV=1	2	93.66	7253.75327	13
P76445	yeiU	Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2	2	95.45	26723.51423	55
P0ACY9	yebG	Uncharacterized protein yebG OS=Escherichia coli (strain K12) GN=yebG PE=4 SV=1	2	72.07	10692.27498	832
P0AEH1	rseP	Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	2	67.52	49022.40986	14
P0AGA6	uhpA	Transcriptional regulatory protein uhpA OS=Escherichia coli (strain K12) GN=uhpA PE=1 SV=1	2	230.32	20857.9082	62
Q06065	atoC	Acetoacetate metabolism regulatory protein AtoC OS=Escherichia coli (strain K12) GN=atoC PE=3 SV=2	2	108.29	52125.18557	12
P23331	tdk	Thymidine kinase OS=Escherichia coli (strain K12) GN=tdk PE=3 SV=1	2	162.02	23423.6654	145
P23173	tnaB	Low affinity tryptophan permease OS=Escherichia coli (strain K12) GN=tnaB PE=1 SV=1	2	117.68	45163.0612	365
P16528	iclR	Acetate operon repressor OS=Escherichia coli (strain K12) GN=iclR PE=1 SV=1	2	80.03	29702.3942	14
P56580	srlE	Glucitol/sorbitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=srlE PE=1 SV=1	2	123.5	33292.82514	185
P39405	fhuF	Ferric iron reductase protein fhuF OS=Escherichia coli (strain K12) GN=fhuF PE=1 SV=1	2	85.56	30075.33488	1
P0CG19	rph	Inactive ribonuclease PH OS=Escherichia coli (strain K12) GN=rph PE=3 SV=1	2	126.53	24391.49325	113
P32684	rluF	Ribosomal large subunit pseudouridine synthase F OS=Escherichia coli (strain K12) GN=rluF PE=1 SV=1	2	118.39	32438.40849	11
P00892	ilvG	Acetolactate synthase isozyme 2 large subunit OS=Escherichia coli (strain K12) GN=ilvG PE=1 SV=3	2	114.77	59228.74221	44
P09549	dedD	Protein dedD OS=Escherichia coli (strain K12) GN=dedD PE=4 SV=2	2	71.68	22906.23661	84
P0AEM6	fliA	RNA polymerase sigma factor for flagellar operon OS=Escherichia coli (strain K12) GN=fliA PE=3 SV=1	2	109.88	27486.2642	3
P26365	amiB	N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2	2	125.68	47937.87141	11
P77611	rsxC	Electron transport complex protein rnfC OS=Escherichia coli (strain K12) GN=rnfC PE=3 SV=1	2	93.95	80103.92128	20
P0ABF4	eutM	Ethanolamine utilization protein EutM OS=Escherichia coli (strain K12) GN=eutM PE=1 SV=1	2	166.04	9841.19138	64
P10442	rnhB	Ribonuclease HII OS=Escherichia coli (strain K12) GN=rnhB PE=1 SV=2	2	73.52	21494.37992	213
P33590	nikA	Nickel-binding periplasmic protein OS=Escherichia coli (strain K12) GN=nikA PE=1 SV=1	2	45.85	58664.18196	0
P07363	cheA	Isoform cheA(S) of Chemotaxis protein CheA OS=Escherichia coli (strain K12) GN=cheA	2	75.66	71319.95878	3
P76121	yddH	Uncharacterized protein yddH OS=Escherichia coli (strain K12) GN=yddH PE=3 SV=2	2	127.2	20935.58134	3
P65367	yqcA	Uncharacterized protein yqcA OS=Escherichia coli (strain K12) GN=yqcA PE=3 SV=1	2	70.05	16245.97352	277
P0ACK8	fucR	L-fucose operon activator OS=Escherichia coli (strain K12) GN=fucR PE=4 SV=1	2	64.53	27327.20472	113
P0A6A0	ubiB	Probable ubiquinone biosynthesis protein UbiB OS=Escherichia coli (strain K12) GN=ubiB PE=1 SV=1	2	87.28	63144.4162	9
P16095	sdaA	L-serine dehydratase 1 OS=Escherichia coli (strain K12) GN=sdaA PE=1 SV=3	2	188.3	48857.13065	90
Q46919	yqcC	Uncharacterized protein yqcC OS=Escherichia coli (strain K12) GN=yqcC PE=1 SV=1	2	89.12	12760.34477	352
P0AEN4	ftsL	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	2	144.61	13600.25765	74
P75906	pgaB	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase OS=Escherichia coli (strain K12) GN=pgaB PE=1 SV=1	2	34.07	77346.20831	1
P52074	glcF	Glycolate oxidase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=glcF PE=4 SV=1	2	116.97	45063.30465	3
P75954	ycfS	Probable L,D-transpeptidase YcfS OS=Escherichia coli (strain K12) GN=ycfS PE=1 SV=1	2	122.98	34596.11664	25
P64585	yqjE	Inner membrane protein yqjE OS=Escherichia coli (strain K12) GN=yqjE PE=1 SV=1	2	88.97	15119.20843	25
P76350	shiA	Shikimate transporter OS=Escherichia coli (strain K12) GN=shiA PE=3 SV=1	2	76.26	47767.92342	5
P75829	ybjX	Uncharacterized protein ybjX OS=Escherichia coli (strain K12) GN=ybjX PE=4 SV=1	2	110.37	38314.69249	22
P45771	yrdD	Uncharacterized protein yrdD OS=Escherichia coli (strain K12) GN=yrdD PE=4 SV=2	2	63.81	19839.65187	3
P23200	mglC	Galactoside transport system permease protein mglC OS=Escherichia coli (strain K12) GN=mglC PE=1 SV=1	2	89.65	35509.23597	34
P36560	asr	Acid shock protein OS=Escherichia coli (strain K12) GN=asr PE=1 SV=3	2	47.9	10566.75765	1
P02916	malF	Maltose transport system permease protein malF OS=Escherichia coli (strain K12) GN=malF PE=1 SV=1	2	113.19	56958.59293	6
Q6BF16	dgoA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase OS=Escherichia coli (strain K12) GN=dgoA PE=1 SV=1	2	114.35	21359.05096	0
P0AEL0	fdoI	Formate dehydrogenase, cytochrome b556(fdo) subunit OS=Escherichia coli (strain K12) GN=fdoI PE=1 SV=1	2	42.98	24572.12915	27
P21345	gltP	Proton glutamate symport protein OS=Escherichia coli (strain K12) GN=gltP PE=1 SV=2	2	69.15	47110.82199	7
P69739	hyaA	Hydrogenase-1 small chain OS=Escherichia coli (strain K12) GN=hyaA PE=1 SV=1	2	162.7	40636.93027	2
P25748	galS	HTH-type transcriptional regulator galS OS=Escherichia coli (strain K12) GN=galS PE=1 SV=2	2	71.15	37315.00407	0
P0A996	glpC	Anaerobic glycerol-3-phosphate dehydrogenase subunit C OS=Escherichia coli (strain K12) GN=glpC PE=1 SV=1	2	77.58	44061.53167	40
P76440	preT	Uncharacterized oxidoreductase yeiT OS=Escherichia coli (strain K12) GN=yeiT PE=4 SV=1	2	87.52	44283.4691	101
P0AAZ4	rarA	Replication-associated recombination protein A OS=Escherichia coli (strain K12) GN=rarA PE=1 SV=1	2	63.94	49577.22431	15
P0ADB7	ecnB	Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1	1	135.52	4788.51531	7923
P0ADA7	osmB	Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1	1	139.3	6925.61897	973
P0A7Q6	rpmJ	50S ribosomal protein L36 OS=Escherichia coli (strain K12) GN=rpmJ PE=1 SV=1	1	26.39	4343.43911	13630
P0A6D0	argR	Arginine repressor OS=Escherichia coli (strain K12) GN=argR PE=1 SV=1	1	83.56	16965.84566	931
P0A898	ybeY	Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1	1	91.56	17496.46109	35
Q6E0U3	cgtA	GTPase Obg/CgtA OS=Vibrio harveyi GN=cgtA PE=1 SV=1	1	71.71	43373.76227	185
P0AFT2	yecS	Inner membrane amino-acid ABC transporter permease protein yecS OS=Escherichia coli (strain K12) GN=yecS PE=1 SV=1	1	60.66	24767.2196	44
P39298	yjfP	Esterase yjfP OS=Escherichia coli (strain K12) GN=yjfP PE=1 SV=1	1	58.3	27552.8958	362
P0ABG1	cdsA	Phosphatidate cytidylyltransferase OS=Escherichia coli (strain K12) GN=cdsA PE=1 SV=2	1	61.86	31415.04641	81
P68699	atpE	ATP synthase subunit c OS=Escherichia coli (strain K12) GN=atpE PE=1 SV=1	1	73.23	8232.38507	565
P0AD24	yejL	UPF0352 protein yejL OS=Escherichia coli (strain K12) GN=yejL PE=1 SV=1	1	38.65	8265.27759	501
P18393	ybdZ	Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1	1	67.38	8247.87699	33
P0AF52	ghxP	Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1	1	55.15	45663.88814	116
P0A890	tusA	Sulfurtransferase tusA OS=Escherichia coli (strain K12) GN=tusA PE=1 SV=1	1	125.85	9070.52356	369
P37750	wbbJ	Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ OS=Escherichia coli (strain K12) GN=wbbJ PE=3 SV=2	1	21.78	21643.43555	165
P0ACV6	mpaA	Protein mpaA OS=Escherichia coli (strain K12) GN=mpaA PE=4 SV=2	1	88.44	26523.23108	15
P0A8Z7	yqiA	Esterase yqiA OS=Escherichia coli (strain K12) GN=yqiA PE=4 SV=1	1	31.34	21609.74693	62
P0AEH3	elaA	Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1	1	76.1	17390.65594	159
P64616	yhcO	Uncharacterized protein yhcO OS=Escherichia coli (strain K12) GN=yhcO PE=3 SV=1	1	37.18	10771.36875	32
P41052	mltB	Membrane-bound lytic murein transglycosylase B OS=Escherichia coli (strain K12) GN=mltB PE=1 SV=1	1	34.62	40212.24573	22
P76194	sufE	Cysteine desulfuration protein sufE OS=Escherichia coli (strain K12) GN=sufE PE=1 SV=1	1	63.45	15772.20615	1
P39337	yjgM	Uncharacterized N-acetyltransferase YjgM OS=Escherichia coli (strain K12) GN=yjgM PE=3 SV=2	1	87.06	18592.28007	82
P0ACV4	yciS	Inner membrane protein yciS OS=Escherichia coli (strain K12) GN=yciS PE=1 SV=1	1	60.05	11326.27978	39
P0C960	emtA	Endo-type membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=emtA PE=1 SV=1	1	61.25	22194.43952	183
P0A8R7	ycjF	UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1	1	71.34	39349.43739	34
P68567	rsmJ	UPF0341 protein yhiQ OS=Escherichia coli (strain K12) GN=yhiQ PE=1 SV=1	1	37.93	26914.24722	83
P0AE39	ypdB	Uncharacterized response regulatory protein ypdB OS=Escherichia coli (strain K12) GN=ypdB PE=1 SV=1	1	36.93	28684.6737	19
P67697	hicB	Antitoxin HicB OS=Escherichia coli (strain K12) GN=hicB PE=1 SV=2	1	23.54	15218.98275	7
P31801	chaA	Calcium/proton antiporter OS=Escherichia coli (strain K12) GN=chaA PE=1 SV=1	1	31.77	39125.07236	59
P0AD07	yecF	Uncharacterized protein yecF OS=Escherichia coli (strain K12) GN=yecF PE=4 SV=1	1	32.43	8215.10559	1184
P0AFE4	nuoK	NADH-quinone oxidoreductase subunit K OS=Escherichia coli (strain K12) GN=nuoK PE=1 SV=1	1	56.19	10819.97948	384
P0AAV4	ybgJ	Uncharacterized protein ybgJ OS=Escherichia coli (strain K12) GN=ybgJ PE=4 SV=1	1	40.21	23913.50252	174
P0C066	mltC	Membrane-bound lytic murein transglycosylase C OS=Escherichia coli (strain K12) GN=mltC PE=2 SV=1	1	105.3	40069.49319	1
P45469	yraR	Uncharacterized protein yraR OS=Escherichia coli (strain K12) GN=yraR PE=4 SV=2	1	59.35	23164.99638	9
P0A7Q1	rpmI	50S ribosomal protein L35 OS=Escherichia coli (strain K12) GN=rpmI PE=1 SV=2	1	21.2	7266.26326	113
P0AFP4	ybbO	Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1	1	41.9	29373.10702	63
P31680	djlA	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	1	36.24	30541.54864	0
P0AFK6	potC	Spermidine/putrescine transport system permease protein potC OS=Escherichia coli (strain K12) GN=potC PE=3 SV=1	1	60.79	29073.66195	90
P0AC16	folB	Dihydroneopterin aldolase OS=Escherichia coli (strain K12) GN=folB PE=1 SV=1	1	94.03	13593.04335	276
